school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
J.H.S. 088 PETER ROUGET,15K088,163,20,5%,68%,331500010088.0,15.0,40.660494,-73.9883,"544 7TH AVE BROOKLYN, NY 11215",BROOKLYN,11215.0,"06,07,08",06,08,No,0.7190000000000001,,12%,18%,11%,60%,71%,10%,95%,13%,89%,Exceeding Target,87%,Exceeding Target,86%,Exceeding Target,77%,Approaching Target,78%,Meeting Target,90%,Meeting Target,Exceeding Target,2.58,2.67
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,30Q126,59,19,11%,62%,343000010126.0,30.0,40.766101,-73.929913,"31-51 21ST ST LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106.0,"06,07,08",06,08,No,0.7070000000000001,,12%,25%,15%,49%,64%,10%,94%,20%,90%,Exceeding Target,97%,Exceeding Target,91%,Meeting Target,93%,Exceeding Target,81%,Meeting Target,96%,Exceeding Target,Meeting Target,2.46,2.51
M.S. M245 THE COMPUTER SCHOOL,03M245,70,19,14%,40%,310300010245.0,3.0,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",NEW YORK,10024.0,"06,07,08",06,08,No,0.304,,3%,6%,14%,26%,40%,50%,97%,6%,90%,Exceeding Target,92%,Exceeding Target,91%,Exceeding Target,85%,Meeting Target,86%,Meeting Target,95%,Exceeding Target,Exceeding Target,3.17,3.14
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,15K443,94,19,10%,40%,331500010443.0,15.0,40.660969,-73.989018,"330 18TH ST BROOKLYN, NY 11215",BROOKLYN,11215.0,"06,07,08",06,08,No,0.381,,1%,6%,13%,35%,48%,45%,95%,10%,93%,Exceeding Target,94%,Exceeding Target,86%,Meeting Target,89%,Exceeding Target,83%,Meeting Target,93%,Meeting Target,Exceeding Target,3.1,3.11
J.H.S. 223 THE MONTAUK,20K223,142,19,6%,28%,332000010223.0,20.0,40.634787,-73.98163100000001,"4200 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204.0,"06,07,08",06,08,No,0.792,,31%,61%,4%,27%,31%,7%,96%,12%,85%,Meeting Target,88%,Exceeding Target,86%,Meeting Target,82%,Meeting Target,72%,Approaching Target,90%,Meeting Target,Exceeding Target,2.43,2.89
P.S. 126 JACOB AUGUST RIIS,02M126,66,18,16%,27%,310200010126.0,2.0,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.728,"$38,919.61 ",17%,59%,11%,21%,32%,8%,96%,10%,91%,Exceeding Target,93%,Exceeding Target,91%,Exceeding Target,89%,Exceeding Target,82%,Approaching Target,95%,Exceeding Target,Exceeding Target,2.93,3.29
J.H.S. 202 ROBERT H. GODDARD,27Q202,98,18,5%,54%,342700010202.0,27.0,40.670885999999996,-73.845674,"138-30 LAFAYETTE ST OZONE PARK, NY 11417",OZONE PARK,11417.0,"06,07,08",06,08,No,0.593,,8%,34%,7%,48%,55%,8%,95%,14%,92%,Meeting Target,94%,Exceeding Target,85%,Meeting Target,89%,Meeting Target,73%,Approaching Target,92%,Meeting Target,Meeting Target,2.63,2.63
M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,02M260,36,17,18%,16%,310200010260.0,2.0,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003.0,"06,07,08",06,08,No,0.23600000000000002,,1%,14%,6%,10%,16%,65%,97%,2%,91%,Exceeding Target,90%,Meeting Target,90%,Exceeding Target,87%,Meeting Target,87%,Exceeding Target,95%,Exceeding Target,Exceeding Target,3.37,3.36
P.S. 102 BAYVIEW,24Q102,67,17,12%,35%,342400010102.0,24.0,40.73342,-73.87775,"55-24 VAN HORN ST ELMHURST, NY 11373",ELMHURST,11373.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.535,"$54,319.34 ",13%,60%,3%,33%,36%,3%,96%,13%,91%,Exceeding Target,89%,Meeting Target,94%,Exceeding Target,82%,Meeting Target,80%,Approaching Target,91%,Meeting Target,Meeting Target,2.85,2.98
J.H.S. 189 DANIEL CARTER BEARD,25Q189,97,17,7%,30%,342500010189.0,25.0,40.760344,-73.817909,"144-80 BARCLAY AVE FLUSHING, NY 11355",FLUSHING,11355.0,"06,07,08",06,08,No,0.63,,24%,69%,3%,25%,28%,3%,97%,5%,94%,Meeting Target,94%,Meeting Target,88%,Exceeding Target,88%,Meeting Target,69%,Approaching Target,90%,Meeting Target,Meeting Target,2.64,2.98
I.S. 228 DAVID A. BOODY,21K228,160,17,4%,32%,332100010228.0,21.0,40.600815999999995,-73.976838,"228 AVE S BROOKLYN, NY 11223",BROOKLYN,11223.0,"06,07,08",06,08,No,0.636,,11%,29%,8%,26%,34%,36%,95%,16%,92%,Meeting Target,94%,Exceeding Target,88%,Meeting Target,89%,Exceeding Target,74%,Approaching Target,93%,Exceeding Target,Meeting Target,2.62,2.8
SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,46,15,15%,37%,310200010413.0,2.0,40.739095,-73.985349,"127 E 22ND ST NEW YORK, NY 10010",NEW YORK,10010.0,"06,07,08,09,10,11,12",06,12,No,0.358,,1%,15%,11%,29%,40%,37%,97%,6%,88%,Exceeding Target,96%,Exceeding Target,88%,Exceeding Target,91%,Exceeding Target,76%,Meeting Target,92%,Meeting Target,Meeting Target,3.05,3.21
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10X141,75,15,6%,65%,321000011141.0,10.0,40.887701,-73.913605,"660 W 237TH ST BRONX, NY 10463",BRONX,10463.0,"06,07,08,09,10,11,12",06,12,No,0.418,,7%,7%,10%,56%,66%,26%,94%,13%,84%,Meeting Target,81%,Meeting Target,82%,Meeting Target,75%,Approaching Target,75%,Approaching Target,86%,Meeting Target,Meeting Target,2.74,2.93
M.S. 243 CENTER SCHOOL,03M243,38,14,25%,30%,310300010243.0,3.0,40.785101,-73.973867,"100 W 84TH ST-RM 310 NEW YORK, NY 10024",NEW YORK,10024.0,"05,06,07,08",05,08,No,0.18100000000000002,,0%,8%,15%,12%,27%,61%,98%,0%,96%,Exceeding Target,91%,Meeting Target,96%,Exceeding Target,90%,Meeting Target,91%,Exceeding Target,96%,Exceeding Target,Exceeding Target,3.61,3.57
P.S. 049 DOROTHY BONAWIT KOLE,24Q049,43,14,11%,24%,342400010049.0,24.0,40.719516999999996,-73.875034,"63-60 80TH ST MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.348,"$67,367.55 ",7%,16%,0%,25%,26%,57%,96%,9%,92%,Meeting Target,93%,Exceeding Target,88%,Meeting Target,86%,Meeting Target,81%,Approaching Target,94%,Exceeding Target,Meeting Target,2.97,3.09
TOMPKINS SQUARE MIDDLE SCHOOL,01M839,66,14,11%,52%,310100010839.0,1.0,40.723746999999996,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009.0,"06,07,08",06,08,No,0.597,,3%,23%,16%,37%,53%,20%,96%,7%,90%,Exceeding Target,89%,Exceeding Target,88%,Meeting Target,86%,Meeting Target,83%,Meeting Target,94%,Exceeding Target,Exceeding Target,2.92,3.01
I.S. 027 ANNING S. PRALL,31R027,77,14,4%,63%,353100010027.0,31.0,40.628284,-74.117592,"11 CLOVE LAKE PL STATEN ISLAND, NY 10310",STATEN ISLAND,10310.0,"06,07,08",06,08,No,0.557,,5%,10%,24%,40%,63%,25%,92%,26%,84%,Approaching Target,87%,Approaching Target,79%,Approaching Target,75%,Approaching Target,69%,Not Meeting Target,86%,Approaching Target,Meeting Target,2.64,2.53
"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",25Q499,40,13,25%,34%,342500011499.0,25.0,40.738332,-73.82028000000001,"148-20 REEVES AVE FLUSHING, NY 11367",FLUSHING,11367.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.354,"$56,351.95 ",4%,53%,22%,12%,35%,10%,97%,3%,87%,Meeting Target,80%,Meeting Target,84%,Meeting Target,74%,Approaching Target,87%,Meeting Target,86%,Meeting Target,Meeting Target,3.12,3.38
P.S. 083 DONALD HERTZ,11X083,77,13,6%,55%,321100010083.0,11.0,40.849167,-73.858861,"950 RHINELANDER AVE BRONX, NY 10462",BRONX,10462.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.611,"$51,523.99 ",12%,10%,9%,49%,58%,32%,95%,11%,85%,Meeting Target,87%,Exceeding Target,84%,Meeting Target,76%,Approaching Target,77%,Approaching Target,87%,Meeting Target,Meeting Target,2.6,2.76
MOTT HALL II,03M862,64,12,10%,70%,310300010862.0,3.0,40.802678,-73.96595,"234 W 109TH ST NEW YORK, NY 10025",NEW YORK,10025.0,"06,07,08",06,08,No,0.47700000000000004,,2%,6%,26%,37%,63%,26%,96%,8%,83%,Meeting Target,95%,Meeting Target,89%,Exceeding Target,93%,Exceeding Target,84%,Meeting Target,95%,Exceeding Target,Meeting Target,3.11,3.23
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,30Q291,65,11,8%,58%,343000010291.0,30.0,40.74308,-73.959251,"1-50 51ST AVE LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101.0,"06,07,08",06,08,No,0.563,,7%,16%,13%,51%,63%,18%,94%,14%,88%,Meeting Target,94%,Meeting Target,85%,Meeting Target,97%,Exceeding Target,85%,Exceeding Target,92%,Meeting Target,Meeting Target,2.68,2.8
P.S./I.S. 104 THE FORT HAMILTON SCHOOL,20K104,87,11,6%,31%,332000010104.0,20.0,40.618025,-74.028588,"9115 5TH AVE BROOKLYN, NY 11209",BROOKLYN,11209.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.523,"$57,526.02 ",9%,22%,3%,25%,28%,47%,96%,10%,92%,Exceeding Target,93%,Exceeding Target,86%,Meeting Target,85%,Meeting Target,78%,Approaching Target,93%,Meeting Target,Meeting Target,2.82,3.09
I.S. 024 MYRA S. BARNES,31R024,132,11,3%,16%,353100010024.0,31.0,40.545792999999996,-74.145561,"225 CLEVELAND AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308.0,"06,07,08",06,08,No,0.254,,2%,3%,1%,12%,13%,83%,94%,15%,90%,Meeting Target,90%,Approaching Target,82%,Approaching Target,83%,Meeting Target,73%,Approaching Target,89%,Meeting Target,Meeting Target,2.85,2.88
SPRUCE STREET SCHOOL,02M397,36,10,18%,17%,310200010397.0,2.0,40.711057000000004,-74.005361,"12 SPRUCE ST NEW YORK, NY 10018",NEW YORK,10018.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.059000000000000004,"$143,926.53 ",2%,14%,3%,12%,15%,58%,96%,6%,97%,Meeting Target,93%,Meeting Target,97%,Exceeding Target,93%,Exceeding Target,94%,Exceeding Target,95%,Meeting Target,Exceeding Target,3.29,3.58
PAULA HEDBAVNY SCHOOL,06M278,24,9,14%,81%,310600010278.0,6.0,40.871567,-73.912337,"421 W 219TH ST NEW YORK, NY 10034",NEW YORK,10034.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.604,"$50,767.71 ",12%,2%,3%,77%,80%,17%,95%,13%,97%,Exceeding Target,96%,Meeting Target,94%,Exceeding Target,90%,Exceeding Target,86%,Meeting Target,96%,Exceeding Target,Meeting Target,2.76,2.86
"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",28Q896,29,9,12%,56%,342800011896.0,28.0,40.708431,-73.80419599999999,"150-91 87TH RD JAMAICA, NY 11432",JAMAICA,11432.0,"07,08,09,10,11,12",07,12,No,0.496,,2%,32%,46%,14%,60%,3%,96%,6%,83%,Approaching Target,85%,Approaching Target,79%,Meeting Target,80%,Meeting Target,76%,Approaching Target,87%,Meeting Target,Meeting Target,3.06,3.0
"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",24Q128,46,9,8%,20%,342400010128.0,24.0,40.715009,-73.886225,"69-10 65TH DR MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.18,"$71,378.48 ",4%,3%,1%,20%,21%,76%,96%,4%,94%,Meeting Target,90%,Meeting Target,86%,Meeting Target,83%,Meeting Target,86%,Meeting Target,92%,Meeting Target,Meeting Target,3.08,3.23
P.S. 206 JOSEPH F LAMB,22K206,51,9,8%,11%,332200010206.0,22.0,40.597134999999994,-73.948515,"2200 GRAVESEND NECK RD BROOKLYN, NY 11229",BROOKLYN,11229.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.49700000000000005,"$57,254.23 ",19%,46%,2%,11%,13%,39%,96%,9%,92%,Meeting Target,91%,Exceeding Target,87%,Meeting Target,84%,Meeting Target,79%,Approaching Target,89%,Meeting Target,Exceeding Target,2.98,3.26
P.S. 048 WILLIAM G. WILCOX,31R048,70,9,8%,21%,353100010048.0,31.0,40.602835,-74.091981,"1050 TARGEE ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.33399999999999996,"$72,831.32 ",6%,17%,4%,18%,22%,59%,95%,10%,94%,Exceeding Target,93%,Exceeding Target,88%,Meeting Target,92%,Exceeding Target,87%,Meeting Target,94%,Exceeding Target,Meeting Target,3.04,3.25
J.H.S. 292 MARGARET S. DOUGLAS,19K292,81,9,4%,78%,331900010292.0,19.0,40.671887,-73.89345300000001,"301 VERMONT ST BROOKLYN, NY 11207",BROOKLYN,11207.0,"06,07,08",06,08,No,0.848,,10%,12%,52%,33%,86%,1%,91%,29%,79%,Meeting Target,79%,Meeting Target,81%,Approaching Target,72%,Approaching Target,72%,Approaching Target,85%,Approaching Target,Meeting Target,2.39,2.44
I.S. 096 SETH LOW,21K096,114,9,3%,36%,332100010096.0,21.0,40.608043,-73.984972,"99 AVE P BROOKLYN, NY 11204",BROOKLYN,11204.0,"06,07,08",06,08,Yes,0.73,,29%,33%,11%,28%,38%,27%,93%,21%,90%,Meeting Target,93%,Exceeding Target,85%,Meeting Target,89%,Meeting Target,74%,Approaching Target,93%,Meeting Target,Exceeding Target,2.45,2.58
JEAN NUZZI INTERMEDIATE SCHOOL,29Q109,117,9,3%,59%,342900010109.0,29.0,40.720411999999996,-73.746572,"213-10 92ND AVE QUEENS VILLAGE, NY 11428",QUEENS VILLAGE,11428.0,"06,07,08",06,08,No,0.435,,10%,33%,40%,21%,61%,4%,94%,16%,89%,Meeting Target,86%,Approaching Target,78%,Approaching Target,82%,Meeting Target,72%,Approaching Target,86%,Approaching Target,Meeting Target,2.53,2.55
J.H.S. 127 THE CASTLE HILL,11X127,133,9,3%,64%,321100010127.0,11.0,40.838494,-73.853201,"1560 PURDY ST BRONX, NY 10462",BRONX,10462.0,"06,07,08",06,08,No,0.716,,18%,31%,23%,41%,64%,4%,94%,17%,90%,Meeting Target,93%,Exceeding Target,84%,Meeting Target,89%,Meeting Target,76%,Approaching Target,93%,Meeting Target,Meeting Target,2.49,2.62
INSTITUTE FOR COLLABORATIVE EDUCATION,02M407,21,8,11%,36%,310200011407.0,2.0,40.732676,-73.982576,"345 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003.0,"06,07,08,09,10,11,12",06,12,No,0.258,,0%,7%,16%,16%,32%,55%,96%,13%,94%,Exceeding Target,98%,Exceeding Target,90%,Exceeding Target,98%,Exceeding Target,89%,Exceeding Target,96%,Exceeding Target,Approaching Target,3.28,2.95
BROOKLYN PROSPECT CHARTER SCHOOL,84K707,24,8,7%,48%,331500860935.0,15.0,40.648154999999996,-73.978583,"3002 FORT HAMILTON PKWY BROOKLYN, NY 11218",BROOKLYN,11218.0,"06,07,08,09,10,11,12",06,12,No,0.354,,2%,6%,15%,34%,49%,37%,96%,7%,85%,Approaching Target,91%,Meeting Target,87%,Exceeding Target,92%,Exceeding Target,86%,Meeting Target,94%,Exceeding Target,Meeting Target,2.82,3.05
P.S./I.S. 266,26Q266,33,8,10%,43%,342600010266.0,26.0,40.746010999999996,-73.728385,"74-10 COMMONWEALTH BLVD BELLEROSE, NY 11426",BELLEROSE,11426.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.239,"$77,165.95 ",3%,43%,14%,24%,38%,17%,97%,5%,89%,Meeting Target,88%,Exceeding Target,86%,Exceeding Target,87%,Meeting Target,84%,Meeting Target,90%,Meeting Target,Exceeding Target,3.07,3.33
P.S. 008 ROBERT FULTON,13K008,42,8,13%,27%,331300010008.0,13.0,40.700728000000005,-73.992805,"37 HICKS ST BROOKLYN, NY 11201",BROOKLYN,11201.0,"PK,0K,01,02,03,04,05,07,08",PK,08,No,0.179,"$111,743.74 ",2%,6%,14%,11%,25%,61%,96%,8%,91%,Exceeding Target,93%,Exceeding Target,84%,Meeting Target,90%,Exceeding Target,92%,Exceeding Target,92%,Meeting Target,Meeting Target,3.19,3.17
P.S./M.S. 194,11X194,64,8,5%,56%,321100010194.0,11.0,40.835236,-73.846547,"2365 WATERBURY AVE BRONX, NY 10462",BRONX,10462.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.764,"$45,253.24 ",14%,33%,8%,53%,61%,4%,95%,16%,92%,Exceeding Target,87%,Exceeding Target,85%,Meeting Target,79%,Meeting Target,76%,Not Meeting Target,88%,Meeting Target,Meeting Target,2.5,2.82
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,02M896,70,8,6%,28%,310200010896.0,2.0,40.705442,-74.012888,"26 BROADWAY-6TH FL NEW YORK, NY 10004",NEW YORK,10004.0,"06,07,08",06,08,No,0.564,,8%,40%,9%,20%,29%,27%,96%,8%,84%,Meeting Target,93%,Exceeding Target,90%,Exceeding Target,95%,Exceeding Target,85%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.77,2.88
I.S. 034 TOTTENVILLE,31R034,81,8,2%,12%,353100010034.0,31.0,40.507803,-74.24322099999999,"528 ACADEMY AVE STATEN ISLAND, NY 10307",STATEN ISLAND,10307.0,"06,07,08",06,08,No,0.225,,1%,4%,0%,11%,11%,85%,93%,22%,90%,Exceeding Target,85%,Exceeding Target,84%,Meeting Target,78%,Meeting Target,72%,Approaching Target,87%,Meeting Target,Exceeding Target,3.0,3.02
I.S. 181 PABLO CASALS,11X181,124,8,3%,88%,321100010181.0,11.0,40.874988,-73.832178,"800 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475.0,"06,07,08",06,08,No,0.534,,3%,5%,63%,26%,89%,4%,93%,21%,87%,Exceeding Target,90%,Exceeding Target,86%,Meeting Target,84%,Meeting Target,77%,Approaching Target,91%,Meeting Target,Meeting Target,2.66,2.67
P.S. 219 PAUL KLAPPER,25Q219,29,7,9%,36%,342500010219.0,25.0,40.735855,-73.823583,"144-39 GRAVETT RD FLUSHING, NY 11367",FLUSHING,11367.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.457,"$61,994.44 ",15%,44%,9%,32%,40%,16%,96%,13%,91%,Exceeding Target,86%,Exceeding Target,90%,Meeting Target,82%,Meeting Target,78%,Approaching Target,88%,Meeting Target,Exceeding Target,2.71,2.97
M.S. 839,15K839,36,7,7%,40%,331500010839.0,15.0,40.647837,-73.973229,"713 CATON AVE BROOKLYN, NY 11218",BROOKLYN,11218.0,"06,07,08",06,08,No,,,8%,14%,14%,33%,47%,36%,,,,,,,,,,,,,,,,,
P.S. 163 BATH BEACH,20K163,39,7,8%,36%,332000010163.0,20.0,40.606594,-74.007612,"109 BAY 14TH ST BROOKLYN, NY 11214",BROOKLYN,11214.0,"PK,0K,01,02,03,04,05",PK,05,No,0.655,"$55,697.95 ",17%,29%,1%,32%,33%,38%,96%,12%,95%,Exceeding Target,97%,Meeting Target,94%,Meeting Target,90%,Exceeding Target,83%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.69,3.07
BROOKLYN URBAN GARDEN CHARTER SCHOOL,84K758,43,7,7%,72%,331500861011.0,15.0,40.656203999999995,-73.982638,"500 19TH ST BROOKLYN, NY 11215",BROOKLYN,11215.0,"06,07,08",06,08,No,0.485,,3%,7%,33%,33%,66%,23%,96%,8%,75%,Approaching Target,82%,Meeting Target,83%,Meeting Target,85%,Meeting Target,88%,Exceeding Target,89%,Meeting Target,Approaching Target,2.53,2.5
P.S. 226 ALFRED DE B.MASON,21K226,44,7,7%,31%,332100010226.0,21.0,40.615326,-73.97694399999999,"6006 23RD AVE BROOKLYN, NY 11204",BROOKLYN,11204.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.6920000000000001,"$47,058.63 ",21%,28%,2%,31%,33%,38%,95%,11%,95%,Exceeding Target,93%,Meeting Target,92%,Exceeding Target,85%,Meeting Target,82%,Meeting Target,93%,Exceeding Target,Meeting Target,2.72,2.89
HELLENIC CLASSICAL CHARTER SCHOOL,84K362,46,7,14%,62%,331500860878.0,15.0,40.662963,-73.992106,"646 5TH AVE BROOKLYN, NY 11215",BROOKLYN,11215.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.484,"$52,361.11 ",3%,3%,26%,40%,66%,28%,96%,7%,96%,Exceeding Target,94%,Exceeding Target,94%,Exceeding Target,91%,Exceeding Target,85%,Meeting Target,95%,Exceeding Target,Exceeding Target,2.94,3.34
M.S. 131,02M131,54,7,5%,17%,310200010131.0,2.0,40.716213,-73.993555,"100 HESTER ST NEW YORK, NY 10002",NEW YORK,10002.0,"06,07,08",06,08,No,0.8370000000000001,,35%,77%,8%,14%,22%,0%,97%,9%,86%,Meeting Target,92%,Meeting Target,91%,Meeting Target,86%,Meeting Target,78%,Meeting Target,95%,Exceeding Target,Exceeding Target,2.49,3.02
M.S. X101 EDWARD R. BYRNE,08X101,66,7,5%,67%,320800010101.0,8.0,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465.0,"06,07,08",06,08,No,0.489,,1%,14%,10%,56%,66%,20%,95%,15%,89%,Meeting Target,86%,Meeting Target,88%,Meeting Target,85%,Meeting Target,73%,Approaching Target,89%,Meeting Target,Meeting Target,2.89,2.74
MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,31R063,70,7,4%,31%,353100010063.0,31.0,40.581969,-74.15935999999999,"100 ESSEX DR STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"06,07,08",06,08,No,0.317,,0%,10%,7%,20%,27%,62%,95%,10%,94%,Exceeding Target,88%,Exceeding Target,90%,Exceeding Target,85%,Meeting Target,76%,Approaching Target,86%,Approaching Target,Exceeding Target,3.03,3.01
P.S. 235 JANICE MARIE KNIGHT SCHOOL,18K235,89,7,8%,95%,331800010235.0,18.0,40.654737,-73.940641,"525 LENOX RD BROOKLYN, NY 11203",BROOKLYN,11203.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.52,"$48,361.64 ",1%,2%,93%,2%,95%,2%,95%,11%,92%,Meeting Target,94%,Meeting Target,86%,Meeting Target,90%,Exceeding Target,83%,Meeting Target,93%,Meeting Target,Exceeding Target,3.05,3.1
CONSELYEA PREPARATORY SCHOOL,14K577,90,7,4%,61%,331400010577.0,14.0,40.715274,-73.95705699999999,"208 N 5TH ST BROOKLYN, NY 11211",BROOKLYN,11211.0,"06,07,08",06,08,No,0.551,,3%,3%,3%,59%,62%,35%,95%,16%,92%,Exceeding Target,91%,Exceeding Target,88%,Meeting Target,89%,Meeting Target,78%,Meeting Target,92%,Meeting Target,Approaching Target,2.85,2.6
J.H.S. 278 MARINE PARK,22K278,98,7,2%,60%,332200010278.0,22.0,40.60667,-73.938716,"1925 STUART ST BROOKLYN, NY 11229",BROOKLYN,11229.0,"06,07,08",06,08,No,0.494,,3%,9%,47%,16%,63%,27%,94%,17%,91%,Exceeding Target,91%,Meeting Target,80%,Approaching Target,88%,Exceeding Target,94%,Exceeding Target,91%,Meeting Target,Meeting Target,2.78,2.68
I.S. 145 JOSEPH PULITZER,30Q145,137,7,1%,90%,343000010145.0,30.0,40.754326,-73.88759399999999,"33-34 80TH ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"06,07,08",06,08,No,0.682,,21%,8%,1%,89%,90%,2%,96%,9%,87%,Meeting Target,85%,Meeting Target,86%,Exceeding Target,74%,Approaching Target,76%,Approaching Target,86%,Approaching Target,Meeting Target,2.43,2.57
WEST END SECONDARY SCHOOL,03M291,31,6,5%,25%,310300011291.0,3.0,40.772487,-73.988153,"227-243 W 61ST ST NEW YORK, NY 10023",NEW YORK,10023.0,"06,07,08",06,08,No,,,2%,4%,10%,18%,27%,63%,,,,,,,,,,,,,,,,,
THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,15K497,32,6,6%,60%,331500011497.0,15.0,40.685159000000006,-73.993634,"284 BALTIC ST BROOKLYN, NY 11201",BROOKLYN,11201.0,"06,07,08,09,10,11,12",06,12,No,0.71,,11%,5%,43%,34%,77%,16%,95%,13%,83%,Meeting Target,85%,Exceeding Target,73%,Approaching Target,79%,Meeting Target,71%,Approaching Target,80%,Approaching Target,Approaching Target,2.14,2.01
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,84X494,36,6,9%,97%,320900860980.0,9.0,40.835972999999996,-73.904838,"450 ST PAUL'S PL-5TH FL BRONX, NY 10456",BRONX,10456.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.794,"$27,365.08 ",7%,1%,63%,34%,98%,1%,0%,100%,99%,Exceeding Target,95%,Exceeding Target,98%,Meeting Target,88%,Exceeding Target,94%,Exceeding Target,97%,Exceeding Target,Exceeding Target,3.16,3.91
P.S. 164 QUEENS VALLEY,25Q164,38,6,7%,32%,342500010164.0,25.0,40.721159,-73.823164,"138-01 77TH AVE FLUSHING, NY 11367",FLUSHING,11367.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.415,"$64,280.02 ",10%,29%,6%,26%,32%,38%,95%,10%,89%,Meeting Target,88%,Meeting Target,83%,Meeting Target,76%,Meeting Target,79%,Approaching Target,89%,Meeting Target,Meeting Target,2.95,3.24
P.S./I.S. 30 MARY WHITE OVINGTON,20K030,51,6,5%,32%,332000010030.0,20.0,40.633733,-74.02422,"7002 4TH AVE BROOKLYN, NY 11209",BROOKLYN,11209.0,"06,07,08",06,08,No,0.6509999999999999,"$50,776.12 ",26%,20%,2%,30%,31%,48%,95%,13%,87%,Meeting Target,88%,Exceeding Target,87%,Meeting Target,81%,Meeting Target,76%,Not Meeting Target,90%,Meeting Target,Meeting Target,2.71,2.81
MIDDLE VILLAGE PREP CHARTER SCHOOL,84Q298,58,6,5%,58%,342400861048.0,24.0,40.712244,-73.88786800000001,"6802 METROPOLITAN AVE MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379.0,"06,07,08",06,08,No,0.436,,1%,5%,2%,56%,58%,36%,96%,7%,97%,Exceeding Target,97%,Exceeding Target,87%,Meeting Target,97%,Exceeding Target,84%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.82,3.15
